Embarked,Sex,Pclass,Age,SibSp,Parch,Fare,Survived
Q,male,3,,0,0,7.7375,0
S,female,1,43,0,1,211.3375,1
C,female,3,13,0,0,7.2292,1
S,female,1,17,1,0,57,1
S,male,1,29,0,0,30,0
S,male,3,,1,2,23.45,0
S,male,3,25,0,0,7.05,0
S,male,3,25,0,0,7.25,0
S,female,3,18,0,0,7.4958,1
Q,male,3,8,4,1,29.125,0
S,male,3,1,1,2,20.575,1
C,male,1,46,0,0,79.2,0
Q,male,3,,0,0,7.75,0
S,male,2,16,0,0,26,0
S,female,3,,8,2,69.55,0
C,male,1,,0,0,30.6958,0
S,male,3,25,0,0,7.8958,0
S,male,2,39,0,0,13,0
S,female,1,49,0,0,25.9292,1
S,female,3,31,0,0,8.6833,1
C,male,3,30,0,0,7.2292,0
S,female,3,30,1,1,24.15,0
S,male,2,34,0,0,13,0
S,female,2,31,1,1,26.25,1
S,male,1,11,1,2,120,1
C,male,3,0.42,0,1,8.5167,1
S,male,3,27,0,0,6.975,1
S,male,3,31,0,0,7.775,0
S,male,1,39,0,0,0,0
S,female,3,18,0,0,7.775,0
S,male,2,39,0,0,13,0
S,female,1,33,1,0,53.1,1
S,male,3,26,0,0,7.8875,0
S,male,3,39,0,0,24.15,0
S,male,2,35,0,0,10.5,0
S,female,3,6,4,2,31.275,0
S,male,3,30.5,0,0,8.05,0
S,male,1,,0,0,0,0
S,female,3,23,0,0,7.925,0
C,male,2,31,1,1,37.0042,0
S,male,3,43,0,0,6.45,0
S,male,3,10,3,2,27.9,0
S,female,1,52,1,1,93.5,1
S,male,3,27,0,0,8.6625,1
S,male,1,38,0,0,0,0
S,female,3,27,0,1,12.475,1
S,male,3,2,4,1,39.6875,0
Q,male,3,,0,0,6.95,0
S,male,3,,0,0,56.4958,0
C,male,2,1,0,2,37.0042,1
Q,male,3,,0,0,7.75,1
S,female,1,62,0,0,80,1
C,female,3,15,1,0,14.4542,1
S,male,2,0.83,1,1,18.75,1
C,male,3,,0,0,7.2292,0
S,male,3,23,0,0,7.8542,0
S,male,3,18,0,0,8.3,0
C,female,1,39,1,1,83.1583,1
S,male,3,21,0,0,8.6625,0
S,male,3,,0,0,8.05,0
S,male,3,32,0,0,56.4958,1
C,male,1,,0,0,29.7,1
S,male,3,20,0,0,7.925,0
S,male,2,16,0,0,10.5,0
C,female,1,30,0,0,31,1
C,male,3,34.5,0,0,6.4375,0
S,male,3,17,0,0,8.6625,0
S,male,3,42,0,0,7.55,0
S,male,3,,8,2,69.55,0
C,male,3,35,0,0,7.8958,0
S,male,2,28,0,1,33,0
C,female,1,,1,0,89.1042,1
S,male,3,4,4,2,31.275,0
S,male,3,74,0,0,7.775,0
C,female,3,9,1,1,15.2458,0
S,female,1,16,0,1,39.4,1
S,female,2,44,1,0,26,0
S,female,3,18,0,1,9.35,1
S,female,1,45,1,1,164.8667,1
S,male,1,51,0,0,26.55,1
C,female,3,24,0,3,19.2583,1
C,male,3,,0,0,7.2292,0
S,male,3,41,2,0,14.1083,0
S,male,2,21,1,0,11.5,0
S,female,1,48,0,0,25.9292,1
S,female,3,,8,2,69.55,0
S,male,2,24,0,0,13,0
S,female,2,42,0,0,13,1
C,female,2,27,1,0,13.8583,1
S,male,1,31,0,0,50.4958,0
S,male,3,,0,0,9.5,0
S,male,3,4,1,1,11.1333,1
S,male,3,26,0,0,7.8958,0
S,female,1,47,1,1,52.5542,1
S,male,1,33,0,0,5,0
S,male,3,47,0,0,9,0
C,female,2,28,1,0,24,1
C,female,3,15,0,0,7.225,1
S,male,3,20,0,0,9.8458,0
S,male,3,19,0,0,7.8958,0
S,male,3,,0,0,7.8958,0
C,female,1,56,0,1,83.1583,1
S,female,2,25,0,1,26,1
S,male,3,33,0,0,7.8958,0
S,female,3,22,0,0,10.5167,0
S,male,2,28,0,0,10.5,0
S,male,3,25,0,0,7.05,0
Q,female,3,39,0,5,29.125,0
S,male,2,27,0,0,13,0
S,female,1,19,0,0,30,1
S,female,3,,1,2,23.45,0
C,male,1,26,0,0,30,1
Q,male,3,32,0,0,7.75,0
